Emotions,Path
calm,archive-2/audio_speech_actors_01-24/Actor_02/03-01-02-02-02-02-02.wav
neutral,archive-2/audio_speech_actors_01-24/Actor_02/03-01-01-01-01-01-02.wav
calm,archive-2/audio_speech_actors_01-24/Actor_02/03-01-02-01-01-02-02.wav
angry,archive-2/audio_speech_actors_01-24/Actor_02/03-01-05-01-01-02-02.wav
fear,archive-2/audio_speech_actors_01-24/Actor_02/03-01-06-01-01-01-02.wav
fear,archive-2/audio_speech_actors_01-24/Actor_02/03-01-06-02-02-01-02.wav
angry,archive-2/audio_speech_actors_01-24/Actor_02/03-01-05-02-02-02-02.wav
disgust,archive-2/audio_speech_actors_01-24/Actor_02/03-01-07-01-02-02-02.wav
sad,archive-2/audio_speech_actors_01-24/Actor_02/03-01-04-01-02-01-02.wav
sad,archive-2/audio_speech_actors_01-24/Actor_02/03-01-04-02-01-01-02.wav
disgust,archive-2/audio_speech_actors_01-24/Actor_02/03-01-07-02-01-02-02.wav
surprise,archive-2/audio_speech_actors_01-24/Actor_02/03-01-08-02-01-02-02.wav
surprise,archive-2/audio_speech_actors_01-24/Actor_02/03-01-08-01-02-02-02.wav
neutral,archive-2/audio_speech_actors_01-24/Actor_02/03-01-01-01-02-01-02.wav
calm,archive-2/audio_speech_actors_01-24/Actor_02/03-01-02-01-02-02-02.wav
calm,archive-2/audio_speech_actors_01-24/Actor_02/03-01-02-02-01-02-02.wav
happy,archive-2/audio_speech_actors_01-24/Actor_02/03-01-03-01-01-01-02.wav
happy,archive-2/audio_speech_actors_01-24/Actor_02/03-01-03-02-02-01-02.wav
sad,archive-2/audio_speech_actors_01-24/Actor_02/03-01-04-02-02-01-02.wav
disgust,archive-2/audio_speech_actors_01-24/Actor_02/03-01-07-02-02-02-02.wav
disgust,archive-2/audio_speech_actors_01-24/Actor_02/03-01-07-01-01-02-02.wav
sad,archive-2/audio_speech_actors_01-24/Actor_02/03-01-04-01-01-01-02.wav
fear,archive-2/audio_speech_actors_01-24/Actor_02/03-01-06-02-01-01-02.wav
angry,archive-2/audio_speech_actors_01-24/Actor_02/03-01-05-02-01-02-02.wav
angry,archive-2/audio_speech_actors_01-24/Actor_02/03-01-05-01-02-02-02.wav
fear,archive-2/audio_speech_actors_01-24/Actor_02/03-01-06-01-02-01-02.wav
surprise,archive-2/audio_speech_actors_01-24/Actor_02/03-01-08-01-01-02-02.wav
surprise,archive-2/audio_speech_actors_01-24/Actor_02/03-01-08-02-02-02-02.wav
disgust,archive-2/audio_speech_actors_01-24/Actor_02/03-01-07-02-01-01-02.wav
sad,archive-2/audio_speech_actors_01-24/Actor_02/03-01-04-02-01-02-02.wav
sad,archive-2/audio_speech_actors_01-24/Actor_02/03-01-04-01-02-02-02.wav
disgust,archive-2/audio_speech_actors_01-24/Actor_02/03-01-07-01-02-01-02.wav
angry,archive-2/audio_speech_actors_01-24/Actor_02/03-01-05-02-02-01-02.wav
fear,archive-2/audio_speech_actors_01-24/Actor_02/03-01-06-02-02-02-02.wav
fear,archive-2/audio_speech_actors_01-24/Actor_02/03-01-06-01-01-02-02.wav
angry,archive-2/audio_speech_actors_01-24/Actor_02/03-01-05-01-01-01-02.wav
surprise,archive-2/audio_speech_actors_01-24/Actor_02/03-01-08-01-02-01-02.wav
surprise,archive-2/audio_speech_actors_01-24/Actor_02/03-01-08-02-01-01-02.wav
calm,archive-2/audio_speech_actors_01-24/Actor_02/03-01-02-01-01-01-02.wav
neutral,archive-2/audio_speech_actors_01-24/Actor_02/03-01-01-01-01-02-02.wav
calm,archive-2/audio_speech_actors_01-24/Actor_02/03-01-02-02-02-01-02.wav
happy,archive-2/audio_speech_actors_01-24/Actor_02/03-01-03-01-02-02-02.wav
happy,archive-2/audio_speech_actors_01-24/Actor_02/03-01-03-02-01-02-02.wav
surprise,archive-2/audio_speech_actors_01-24/Actor_01/03-01-08-02-02-01-01.wav
surprise,archive-2/audio_speech_actors_01-24/Actor_01/03-01-08-01-01-01-01.wav
angry,archive-2/audio_speech_actors_01-24/Actor_01/03-01-05-01-02-01-01.wav
fear,archive-2/audio_speech_actors_01-24/Actor_01/03-01-06-01-02-02-01.wav
fear,archive-2/audio_speech_actors_01-24/Actor_01/03-01-06-02-01-02-01.wav
angry,archive-2/audio_speech_actors_01-24/Actor_01/03-01-05-02-01-01-01.wav
disgust,archive-2/audio_speech_actors_01-24/Actor_01/03-01-07-01-01-01-01.wav
sad,archive-2/audio_speech_actors_01-24/Actor_01/03-01-04-01-01-02-01.wav
sad,archive-2/audio_speech_actors_01-24/Actor_01/03-01-04-02-02-02-01.wav
disgust,archive-2/audio_speech_actors_01-24/Actor_01/03-01-07-02-02-01-01.wav
happy,archive-2/audio_speech_actors_01-24/Actor_01/03-01-03-02-02-02-01.wav
happy,archive-2/audio_speech_actors_01-24/Actor_01/03-01-03-01-01-02-01.wav
calm,archive-2/audio_speech_actors_01-24/Actor_01/03-01-02-02-01-01-01.wav
neutral,archive-2/audio_speech_actors_01-24/Actor_01/03-01-01-01-02-02-01.wav
calm,archive-2/audio_speech_actors_01-24/Actor_01/03-01-02-01-02-01-01.wav
happy,archive-2/audio_speech_actors_01-24/Actor_01/03-01-03-02-01-01-01.wav
happy,archive-2/audio_speech_actors_01-24/Actor_01/03-01-03-01-02-01-01.wav
calm,archive-2/audio_speech_actors_01-24/Actor_01/03-01-02-02-02-02-01.wav
calm,archive-2/audio_speech_actors_01-24/Actor_01/03-01-02-01-01-02-01.wav
neutral,archive-2/audio_speech_actors_01-24/Actor_01/03-01-01-01-01-01-01.wav
surprise,archive-2/audio_speech_actors_01-24/Actor_01/03-01-08-02-01-02-01.wav
surprise,archive-2/audio_speech_actors_01-24/Actor_01/03-01-08-01-02-02-01.wav
fear,archive-2/audio_speech_actors_01-24/Actor_01/03-01-06-01-01-01-01.wav
angry,archive-2/audio_speech_actors_01-24/Actor_01/03-01-05-01-01-02-01.wav
angry,archive-2/audio_speech_actors_01-24/Actor_01/03-01-05-02-02-02-01.wav
fear,archive-2/audio_speech_actors_01-24/Actor_01/03-01-06-02-02-01-01.wav
sad,archive-2/audio_speech_actors_01-24/Actor_01/03-01-04-01-02-01-01.wav
disgust,archive-2/audio_speech_actors_01-24/Actor_01/03-01-07-01-02-02-01.wav
disgust,archive-2/audio_speech_actors_01-24/Actor_01/03-01-07-02-01-02-01.wav
sad,archive-2/audio_speech_actors_01-24/Actor_01/03-01-04-02-01-01-01.wav
calm,archive-2/audio_speech_actors_01-24/Actor_01/03-01-02-01-02-02-01.wav
neutral,archive-2/audio_speech_actors_01-24/Actor_01/03-01-01-01-02-01-01.wav
calm,archive-2/audio_speech_actors_01-24/Actor_01/03-01-02-02-01-02-01.wav
happy,archive-2/audio_speech_actors_01-24/Actor_01/03-01-03-01-01-01-01.wav
happy,archive-2/audio_speech_actors_01-24/Actor_01/03-01-03-02-02-01-01.wav
surprise,archive-2/audio_speech_actors_01-24/Actor_01/03-01-08-01-01-02-01.wav
surprise,archive-2/audio_speech_actors_01-24/Actor_01/03-01-08-02-02-02-01.wav
disgust,archive-2/audio_speech_actors_01-24/Actor_01/03-01-07-02-02-02-01.wav
sad,archive-2/audio_speech_actors_01-24/Actor_01/03-01-04-02-02-01-01.wav
sad,archive-2/audio_speech_actors_01-24/Actor_01/03-01-04-01-01-01-01.wav
disgust,archive-2/audio_speech_actors_01-24/Actor_01/03-01-07-01-01-02-01.wav
angry,archive-2/audio_speech_actors_01-24/Actor_01/03-01-05-02-01-02-01.wav
fear,archive-2/audio_speech_actors_01-24/Actor_01/03-01-06-02-01-01-01.wav
fear,archive-2/audio_speech_actors_01-24/Actor_01/03-01-06-01-02-01-01.wav
angry,archive-2/audio_speech_actors_01-24/Actor_01/03-01-05-01-02-02-01.wav
surprise,archive-2/audio_speech_actors_01-24/Actor_01/03-01-08-01-02-01-01.wav
surprise,archive-2/audio_speech_actors_01-24/Actor_01/03-01-08-02-01-01-01.wav
sad,archive-2/audio_speech_actors_01-24/Actor_01/03-01-04-02-01-02-01.wav
disgust,archive-2/audio_speech_actors_01-24/Actor_01/03-01-07-02-01-01-01.wav
disgust,archive-2/audio_speech_actors_01-24/Actor_01/03-01-07-01-02-01-01.wav
sad,archive-2/audio_speech_actors_01-24/Actor_01/03-01-04-01-02-02-01.wav
fear,archive-2/audio_speech_actors_01-24/Actor_01/03-01-06-02-02-02-01.wav
angry,archive-2/audio_speech_actors_01-24/Actor_01/03-01-05-02-02-01-01.wav
angry,archive-2/audio_speech_actors_01-24/Actor_01/03-01-05-01-01-01-01.wav
fear,archive-2/audio_speech_actors_01-24/Actor_01/03-01-06-01-01-02-01.wav
neutral,archive-2/audio_speech_actors_01-24/Actor_01/03-01-01-01-01-02-01.wav
calm,archive-2/audio_speech_actors_01-24/Actor_01/03-01-02-01-01-01-01.wav
calm,archive-2/audio_speech_actors_01-24/Actor_01/03-01-02-02-02-01-01.wav
happy,archive-2/audio_speech_actors_01-24/Actor_01/03-01-03-01-02-02-01.wav
happy,archive-2/audio_speech_actors_01-24/Actor_01/03-01-03-02-01-02-01.wav
angry,AudioWAV/1001_IEO_ANG_LO.wav
happy,AudioWAV/1001_IEO_HAP_HI.wav
neutral,AudioWAV/1001_DFA_NEU_XX.wav
fear,AudioWAV/1001_IEO_FEA_LO.wav
disgust,AudioWAV/1001_IEO_DIS_LO.wav
happy,AudioWAV/1001_DFA_HAP_XX.wav
sad,AudioWAV/1001_DFA_SAD_XX.wav
disgust,AudioWAV/1001_DFA_DIS_XX.wav
fear,AudioWAV/1001_DFA_FEA_XX.wav
angry,AudioWAV/1001_IEO_ANG_HI.wav
fear,AudioWAV/1001_IEO_FEA_MD.wav
disgust,AudioWAV/1001_IEO_DIS_MD.wav
angry,AudioWAV/1001_DFA_ANG_XX.wav
disgust,AudioWAV/1001_IEO_DIS_HI.wav
fear,AudioWAV/1001_IEO_FEA_HI.wav
angry,AudioWAV/1001_IEO_ANG_MD.wav
